djentelmen	джентельмен
modýldenýi	модульденуі
sosıal-darvınızm	социал-дарвинизм
sosıal-demokratıalyq	социал-демократиялық
tushshylyq	тұщылық
búrokratızm	бюрократизм
ıarashaly	иарашалы
fakúltatıvtik	факультативтік
chobere	чобере
alonj	аллонж
poezıa	поэзия
stanısa	станица
sıtologıa	цитология
sychqannyń	сычқанның
teńdensıashyl	теңденцияшыл
bıseps	бицепс
ınterferensıasy	интерференциясы
ınternasıonalısti	интернационалисті
sýdıa-súmelek	судья-сүмелек
alohton	аллохтон
analgetıkter	анальгетиктер
chaıdam	чайдам
demarkasıalaý	демаркациялау
elektrkardıogram	электркардиограмма
barrıl	барриль
kompresor	компрессор
varıaqıalyq	вариақиялық
sýbvensıa	субвенция
vakýol	вакуоль
ıaqasyna	иақасына
chylaýyny	чылауыны
sýrdolımpıadalyq	сурдолимпиадалық
mıýaly	миуалы
ınformbúro	информбюро
aerobty	аэробты
ıodıttik	йодиттік
jebirshi	жэбірші
varág	варяг
razrádta	разрядта
býgel	бугель
okýpasıala	оккупацияла
radıstiń	радистің
ıatyqty	иатықты
trombosıt	тромбоцит
mochevına	мочевина
klasıka	классика
qarim	қарьім
repatrıant	репатриант
dıfferensıaqıa	дифференциақия
chaǵyldyq	чағылдық
avıasıasy	авиациясы
statısıkanyń	статистиканың
rokaıl	рокайль
trestiń	трестің
galısa	галлица
katolısızm	католицизм
belveder	бельведер
sımpozıým	симпозиум
fýnksıonaldylyq	функционалдылық
admıralısımýs	адмиралиссимус
ventılátor	вентилятор
saharaýı	сахарауи
sosıolog	социолог
modýlásıalyq	модуляциялық
ıntervensıalyq	интервенциялық
asfáltsyz	асфальтсыз
vındsórfıng	виндсёрфинг
dıfýzor	диффузор
barershi	барьерші
ıalabash	иалабаш
zıgomısetter	зигомицеттер
kýrerlik	курьерлік
qahýahana	қаһуахана
veb-saıt	вэб-сайт
metrdotel	метрдотель
pıktogram	пиктограмма
chıambý	чиамбу
ash-shafıǵııa	аш-шафиғийа
hajyryn	һажырын
elıpsograf	эллипсограф
mıtraleza	митральеза
chabaýyl	чабауыл
ekzısgensıaldyq	экзисгенциалдық
shahzande	шаһзанде
chylaýydyn	чылауыдын
yhtıary	ыхтиары
az-zahırııa	аз-захирийа
rasıonalıster	рационалистер
fotoetúd	фотоэтюд
áldegıdi	альдегиді
tehnısızm	техницизм
ıýrısdıksıasy	юрисдикциясы
dosent	доцент
flıgel	флигель
TKSh	ТКШ
panıslamıstik	панисламистік
ıýhıbbýhým	йухиббуһум
